,alias,name,url,categories,latitude,longitude,address,zip_code,price,rating,review_count
1224,le-dôme-du-marais-paris,Le Dôme du Marais,https://www.yelp.com/biz/le-d%C3%B4me-du-marais-paris,"french, modern_european",48.85904,2.35831,53 bis rue des Francs Bourgeois,75004,3,4.0,151.0
1227,le-cambodge-paris-3,Le Cambodge,https://www.yelp.com/biz/le-cambodge-paris-3,"cambodian, panasian",48.8721809678125,2.36618243157864,10 avenue Richerand,75010,2,4.0,148.0
1228,urfa-dürüm-paris-2,Urfa Dürüm,https://www.yelp.com/biz/urfa-d%C3%BCr%C3%BCm-paris-2,"mideastern, turkish",48.87234,2.35422,56 rue du Faubourg Saint-Denis,75010,1,4.0,148.0
1229,happy-nouilles-paris-2,Happy Nouilles,https://www.yelp.com/biz/happy-nouilles-paris-2,chinese,48.864524,2.355095,95 rue Beaubourg,75003,1,4.0,148.0
1230,pierre-sang-paris-5,Pierre Sang,https://www.yelp.com/biz/pierre-sang-paris-5,"french, korean",48.86461,2.37233,55 rue Oberkampf,75011,3,4.5,145.0
1231,chez-justine-paris-2,Chez Justine,https://www.yelp.com/biz/chez-justine-paris-2,"french, bbq",48.865686,2.377854,96 rue Oberkampf,75011,2,3.5,143.0
1234,pny-burger-faubourg-saint-denis-paris,PNY BURGER FAUBOURG SAINT-DENIS,https://www.yelp.com/biz/pny-burger-faubourg-saint-denis-paris,"tradamerican, burgers, vegetarian",48.8719449,2.3539668,50 rue du faubourg Saint-Denis,75010,2,3.5,137.0
1235,le-mary-céleste-paris,Le Mary Céleste,https://www.yelp.com/biz/le-mary-c%C3%A9leste-paris,"tapasmallplates, cocktailbars",48.8617491625597,2.36506368136342,1 rue Commines,75003,2,4.0,135.0
1236,ave-maria-paris,Ave Maria,https://www.yelp.com/biz/ave-maria-paris,brazilian,48.86451,2.37304,1 rue Jacquard,75011,2,4.0,135.0
1238,lao-siam-paris,Lao Siam,https://www.yelp.com/biz/lao-siam-paris,"thai, panasian",48.87313,2.38088,49 rue Belleville,75019,2,3.5,132.0
1239,café-beaubourg-paris-2,Café Beaubourg,https://www.yelp.com/biz/caf%C3%A9-beaubourg-paris-2,french,48.860015,2.350977,43 rue Saint-Merri,75004,3,3.0,129.0
1241,café-charbon-paris-2,Café Charbon,https://www.yelp.com/biz/caf%C3%A9-charbon-paris-2,brasseries,48.86583,2.3778,109 rue Oberkampf,75011,2,3.5,128.0
1242,la-marine-paris-2,La Marine,https://www.yelp.com/biz/la-marine-paris-2,french,48.870604,2.36533366888659,55bis quai de Valmy,75010,2,3.5,128.0
1243,café-charlot-paris-4,Café Charlot,https://www.yelp.com/biz/caf%C3%A9-charlot-paris-4,cafes,48.8630405795265,2.36258512774969,38 rue de Bretagne,75003,2,3.5,128.0
1244,derrière-paris,Derrière,https://www.yelp.com/biz/derri%C3%A8re-paris,modern_european,48.8644791458463,2.35424064437866,69 rue des Gravilliers,75003,3,4.0,124.0
1245,benoit-paris-6,Benoit,https://www.yelp.com/biz/benoit-paris-6,"french, brasseries",48.85851,2.34999,20 rue Saint Martin,75004,4,3.5,123.0
1247,l-ambassade-d-auvergne-paris,L'Ambassade d'Auvergne,https://www.yelp.com/biz/l-ambassade-d-auvergne-paris,french,48.8629,2.3533592,22 Rue Grenier St Lazare,75003,3,4.0,122.0
1249,l-estaminet-paris,L'Estaminet,https://www.yelp.com/biz/l-estaminet-paris,"french, bars",48.8661327,2.3793163,116 rue Oberkampf,75011,2,3.5,120.0
